00:01.573  render           | Saved: '/tmp/clearvla_render_glass.png'
00:02.129  render           | Saved: '/tmp/clearvla_render_glass.png'
00:02.622  render           | Saved: '/tmp/clearvla_render_glass.png'
00:03.087  render           | Saved: '/tmp/clearvla_render_glass.png'
00:03.581  render           | Saved: '/tmp/clearvla_render_glass.png'
00:04.036  render           | Saved: '/tmp/clearvla_render_glass.png'
00:04.522  render           | Saved: '/tmp/clearvla_render_glass.png'
00:05.030  render           | Saved: '/tmp/clearvla_render_glass.png'
00:05.494  render           | Saved: '/tmp/clearvla_render_glass.png'
00:05.984  render           | Saved: '/tmp/clearvla_render_glass.png'
00:06.442  render           | Saved: '/tmp/clearvla_render_glass.png'
00:06.895  render           | Saved: '/tmp/clearvla_render_glass.png'
00:07.347  render           | Saved: '/tmp/clearvla_render_glass.png'
00:07.804  render           | Saved: '/tmp/clearvla_render_glass.png'
00:08.238  render           | Saved: '/tmp/clearvla_render_glass.png'
00:08.668  render           | Saved: '/tmp/clearvla_render_glass.png'
00:09.120  render           | Saved: '/tmp/clearvla_render_glass.png'
00:09.547  render           | Saved: '/tmp/clearvla_render_glass.png'
00:09.983  render           | Saved: '/tmp/clearvla_render_glass.png'
00:10.424  render           | Saved: '/tmp/clearvla_render_glass.png'
00:10.852  render           | Saved: '/tmp/clearvla_render_glass.png'
00:11.255  render           | Saved: '/tmp/clearvla_render_glass.png'
00:11.673  render           | Saved: '/tmp/clearvla_render_glass.png'
00:12.112  render           | Saved: '/tmp/clearvla_render_glass.png'
00:12.545  render           | Saved: '/tmp/clearvla_render_glass.png'
00:12.903  render           | Saved: '/tmp/clearvla_render_glass.png'
[glass] 1/450 episodes, 26 frames, 0.2 min, 2.10 fps
00:13.639  render           | Saved: '/tmp/clearvla_render_glass.png'
00:14.077  render           | Saved: '/tmp/clearvla_render_glass.png'
00:14.521  render           | Saved: '/tmp/clearvla_render_glass.png'
00:14.943  render           | Saved: '/tmp/clearvla_render_glass.png'
00:15.352  render           | Saved: '/tmp/clearvla_render_glass.png'
00:15.767  render           | Saved: '/tmp/clearvla_render_glass.png'
00:16.157  render           | Saved: '/tmp/clearvla_render_glass.png'
00:16.554  render           | Saved: '/tmp/clearvla_render_glass.png'
00:16.943  render           | Saved: '/tmp/clearvla_render_glass.png'
00:17.361  render           | Saved: '/tmp/clearvla_render_glass.png'
00:17.775  render           | Saved: '/tmp/clearvla_render_glass.png'
00:18.220  render           | Saved: '/tmp/clearvla_render_glass.png'
00:18.664  render           | Saved: '/tmp/clearvla_render_glass.png'
00:19.085  render           | Saved: '/tmp/clearvla_render_glass.png'
00:19.506  render           | Saved: '/tmp/clearvla_render_glass.png'
00:19.922  render           | Saved: '/tmp/clearvla_render_glass.png'
00:20.331  render           | Saved: '/tmp/clearvla_render_glass.png'
00:20.741  render           | Saved: '/tmp/clearvla_render_glass.png'
00:21.158  render           | Saved: '/tmp/clearvla_render_glass.png'
00:21.580  render           | Saved: '/tmp/clearvla_render_glass.png'
00:22.022  render           | Saved: '/tmp/clearvla_render_glass.png'
00:22.452  render           | Saved: '/tmp/clearvla_render_glass.png'
00:22.893  render           | Saved: '/tmp/clearvla_render_glass.png'
00:23.330  render           | Saved: '/tmp/clearvla_render_glass.png'
00:23.784  render           | Saved: '/tmp/clearvla_render_glass.png'
00:24.425  render           | Saved: '/tmp/clearvla_render_glass.png'
00:24.866  render           | Saved: '/tmp/clearvla_render_glass.png'
00:25.304  render           | Saved: '/tmp/clearvla_render_glass.png'
00:25.757  render           | Saved: '/tmp/clearvla_render_glass.png'
00:26.185  render           | Saved: '/tmp/clearvla_render_glass.png'
00:26.598  render           | Saved: '/tmp/clearvla_render_glass.png'
00:26.996  render           | Saved: '/tmp/clearvla_render_glass.png'
00:27.431  render           | Saved: '/tmp/clearvla_render_glass.png'
00:27.877  render           | Saved: '/tmp/clearvla_render_glass.png'
00:28.317  render           | Saved: '/tmp/clearvla_render_glass.png'
00:28.761  render           | Saved: '/tmp/clearvla_render_glass.png'
00:29.200  render           | Saved: '/tmp/clearvla_render_glass.png'
00:29.642  render           | Saved: '/tmp/clearvla_render_glass.png'
00:30.080  render           | Saved: '/tmp/clearvla_render_glass.png'
00:30.511  render           | Saved: '/tmp/clearvla_render_glass.png'
00:30.948  render           | Saved: '/tmp/clearvla_render_glass.png'
00:31.339  render           | Saved: '/tmp/clearvla_render_glass.png'
00:31.740  render           | Saved: '/tmp/clearvla_render_glass.png'
00:32.163  render           | Saved: '/tmp/clearvla_render_glass.png'
00:32.589  render           | Saved: '/tmp/clearvla_render_glass.png'
00:33.016  render           | Saved: '/tmp/clearvla_render_glass.png'
00:33.404  render           | Saved: '/tmp/clearvla_render_glass.png'
00:33.800  render           | Saved: '/tmp/clearvla_render_glass.png'
00:34.206  render           | Saved: '/tmp/clearvla_render_glass.png'
00:34.606  render           | Saved: '/tmp/clearvla_render_glass.png'
00:34.993  render           | Saved: '/tmp/clearvla_render_glass.png'
00:35.401  render           | Saved: '/tmp/clearvla_render_glass.png'
00:36.110  render           | Saved: '/tmp/clearvla_render_glass.png'
00:36.536  render           | Saved: '/tmp/clearvla_render_glass.png'
00:36.944  render           | Saved: '/tmp/clearvla_render_glass.png'
00:37.386  render           | Saved: '/tmp/clearvla_render_glass.png'
00:37.841  render           | Saved: '/tmp/clearvla_render_glass.png'
00:38.293  render           | Saved: '/tmp/clearvla_render_glass.png'
00:38.736  render           | Saved: '/tmp/clearvla_render_glass.png'
00:39.175  render           | Saved: '/tmp/clearvla_render_glass.png'
00:39.616  render           | Saved: '/tmp/clearvla_render_glass.png'
00:40.044  render           | Saved: '/tmp/clearvla_render_glass.png'
00:40.485  render           | Saved: '/tmp/clearvla_render_glass.png'
00:40.920  render           | Saved: '/tmp/clearvla_render_glass.png'
00:41.343  render           | Saved: '/tmp/clearvla_render_glass.png'
00:41.799  render           | Saved: '/tmp/clearvla_render_glass.png'
00:42.245  render           | Saved: '/tmp/clearvla_render_glass.png'
00:42.659  render           | Saved: '/tmp/clearvla_render_glass.png'
00:43.065  render           | Saved: '/tmp/clearvla_render_glass.png'
00:43.504  render           | Saved: '/tmp/clearvla_render_glass.png'
00:43.926  render           | Saved: '/tmp/clearvla_render_glass.png'
00:44.367  render           | Saved: '/tmp/clearvla_render_glass.png'
00:44.791  render           | Saved: '/tmp/clearvla_render_glass.png'
00:45.232  render           | Saved: '/tmp/clearvla_render_glass.png'
00:45.663  render           | Saved: '/tmp/clearvla_render_glass.png'
00:46.099  render           | Saved: '/tmp/clearvla_render_glass.png'
00:46.492  render           | Saved: '/tmp/clearvla_render_glass.png'
00:46.897  render           | Saved: '/tmp/clearvla_render_glass.png'
00:47.582  render           | Saved: '/tmp/clearvla_render_glass.png'
00:48.030  render           | Saved: '/tmp/clearvla_render_glass.png'
00:48.461  render           | Saved: '/tmp/clearvla_render_glass.png'
00:48.895  render           | Saved: '/tmp/clearvla_render_glass.png'
00:49.324  render           | Saved: '/tmp/clearvla_render_glass.png'
00:49.741  render           | Saved: '/tmp/clearvla_render_glass.png'
00:50.152  render           | Saved: '/tmp/clearvla_render_glass.png'
00:50.570  render           | Saved: '/tmp/clearvla_render_glass.png'
00:51.016  render           | Saved: '/tmp/clearvla_render_glass.png'
00:51.452  render           | Saved: '/tmp/clearvla_render_glass.png'
00:51.901  render           | Saved: '/tmp/clearvla_render_glass.png'
00:52.353  render           | Saved: '/tmp/clearvla_render_glass.png'
00:52.785  render           | Saved: '/tmp/clearvla_render_glass.png'
00:53.216  render           | Saved: '/tmp/clearvla_render_glass.png'
00:53.624  render           | Saved: '/tmp/clearvla_render_glass.png'
00:54.022  render           | Saved: '/tmp/clearvla_render_glass.png'
00:54.428  render           | Saved: '/tmp/clearvla_render_glass.png'
00:54.876  render           | Saved: '/tmp/clearvla_render_glass.png'
00:55.309  render           | Saved: '/tmp/clearvla_render_glass.png'
00:55.741  render           | Saved: '/tmp/clearvla_render_glass.png'
00:56.190  render           | Saved: '/tmp/clearvla_render_glass.png'
00:56.595  render           | Saved: '/tmp/clearvla_render_glass.png'
00:57.000  render           | Saved: '/tmp/clearvla_render_glass.png'
00:57.403  render           | Saved: '/tmp/clearvla_render_glass.png'
00:57.823  render           | Saved: '/tmp/clearvla_render_glass.png'
00:58.223  render           | Saved: '/tmp/clearvla_render_glass.png'
00:58.954  render           | Saved: '/tmp/clearvla_render_glass.png'
00:59.398  render           | Saved: '/tmp/clearvla_render_glass.png'
00:59.832  render           | Saved: '/tmp/clearvla_render_glass.png'
01:00.286  render           | Saved: '/tmp/clearvla_render_glass.png'
01:00.725  render           | Saved: '/tmp/clearvla_render_glass.png'
01:01.164  render           | Saved: '/tmp/clearvla_render_glass.png'
01:01.602  render           | Saved: '/tmp/clearvla_render_glass.png'
01:02.045  render           | Saved: '/tmp/clearvla_render_glass.png'
01:02.490  render           | Saved: '/tmp/clearvla_render_glass.png'
01:02.942  render           | Saved: '/tmp/clearvla_render_glass.png'
01:03.383  render           | Saved: '/tmp/clearvla_render_glass.png'
01:03.824  render           | Saved: '/tmp/clearvla_render_glass.png'
01:04.250  render           | Saved: '/tmp/clearvla_render_glass.png'
01:04.656  render           | Saved: '/tmp/clearvla_render_glass.png'
01:05.075  render           | Saved: '/tmp/clearvla_render_glass.png'
01:05.512  render           | Saved: '/tmp/clearvla_render_glass.png'
01:05.941  render           | Saved: '/tmp/clearvla_render_glass.png'
01:06.394  render           | Saved: '/tmp/clearvla_render_glass.png'
01:06.831  render           | Saved: '/tmp/clearvla_render_glass.png'
01:07.278  render           | Saved: '/tmp/clearvla_render_glass.png'
01:07.726  render           | Saved: '/tmp/clearvla_render_glass.png'
01:08.171  render           | Saved: '/tmp/clearvla_render_glass.png'
01:08.631  render           | Saved: '/tmp/clearvla_render_glass.png'
01:09.105  render           | Saved: '/tmp/clearvla_render_glass.png'
01:09.534  render           | Saved: '/tmp/clearvla_render_glass.png'
01:09.962  render           | Saved: '/tmp/clearvla_render_glass.png'
01:10.688  render           | Saved: '/tmp/clearvla_render_glass.png'
01:11.136  render           | Saved: '/tmp/clearvla_render_glass.png'
01:11.601  render           | Saved: '/tmp/clearvla_render_glass.png'
01:12.048  render           | Saved: '/tmp/clearvla_render_glass.png'
01:12.482  render           | Saved: '/tmp/clearvla_render_glass.png'
01:12.944  render           | Saved: '/tmp/clearvla_render_glass.png'
01:13.421  render           | Saved: '/tmp/clearvla_render_glass.png'
01:13.894  render           | Saved: '/tmp/clearvla_render_glass.png'
01:14.353  render           | Saved: '/tmp/clearvla_render_glass.png'
01:14.798  render           | Saved: '/tmp/clearvla_render_glass.png'
01:15.280  render           | Saved: '/tmp/clearvla_render_glass.png'
01:15.763  render           | Saved: '/tmp/clearvla_render_glass.png'
01:16.224  render           | Saved: '/tmp/clearvla_render_glass.png'
01:16.671  render           | Saved: '/tmp/clearvla_render_glass.png'
01:17.125  render           | Saved: '/tmp/clearvla_render_glass.png'
01:17.581  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.028  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.480  render           | Saved: '/tmp/clearvla_render_glass.png'
01:18.941  render           | Saved: '/tmp/clearvla_render_glass.png'
01:19.397  render           | Saved: '/tmp/clearvla_render_glass.png'
