[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 9127.54it/s]
00:08.706  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:09.168  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:09.995  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:10.404  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:10.924  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:11.300  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:11.799  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:12.184  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:12.675  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:13.071  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:13.541  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:13.957  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:14.442  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:14.851  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:15.336  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:15.739  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:16.224  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:16.626  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:17.105  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:17.514  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:18.009  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:18.406  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:18.905  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:19.299  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:19.778  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:20.191  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:20.659  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:21.074  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:21.551  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:21.960  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:22.453  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:22.862  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:23.380  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:23.769  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:24.299  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:24.680  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:25.174  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:25.573  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:26.081  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:26.468  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:26.973  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:27.366  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:27.837  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:28.249  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:28.720  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:29.129  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:29.656  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:30.190  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:31.091  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:31.801  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:32.690  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:33.294  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:34.239  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:35.122  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:36.201  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:36.851  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:37.875  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:38.567  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:39.498  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:40.087  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:41.031  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:41.591  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:42.374  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:43.036  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:43.858  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:44.559  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:45.472  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
00:46.241  render           | Saved: '/tmp/clearvla_eval_opaque_58384.png'
