[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 10551.12it/s]
00:10.768  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:11.443  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:15.401  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:16.058  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:17.243  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:17.784  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:19.612  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:20.498  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:22.941  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:23.913  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:25.340  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:27.156  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:35.418  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:37.273  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:45.061  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:46.528  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:53.662  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
00:55.251  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:02.215  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:04.156  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:11.415  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:12.032  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:13.790  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:14.481  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:15.817  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:16.570  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:18.538  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:20.520  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:27.628  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
01:29.148  render           | Saved: '/tmp/clearvla_eval_opaque_45585.png'
