00:02.627  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:03.284  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:03.938  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:04.563  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:05.112  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:05.761  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:06.311  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:06.939  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:07.504  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:08.137  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:08.731  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:09.296  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:09.884  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:10.401  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:11.073  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:11.561  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:12.152  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:12.611  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:13.298  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:13.882  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:14.481  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:15.035  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:15.634  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:16.233  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:16.878  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:17.560  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:18.054  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:18.636  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:19.104  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:19.671  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:20.211  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:20.800  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
[glass] 1/450 episodes, 32 frames, 0.3 min, 1.59 fps
00:21.979  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:22.519  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:23.047  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:23.584  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:24.095  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:24.655  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:25.125  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:25.741  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:26.269  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:26.816  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:27.348  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:27.864  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:28.428  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:28.976  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:29.553  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:30.021  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:30.597  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:31.090  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:31.644  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:32.166  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:32.748  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:33.299  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:33.860  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:34.446  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:34.953  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:35.516  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:36.022  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:36.617  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:37.119  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:37.707  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:38.264  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:38.828  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:39.423  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:39.917  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:41.024  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:41.612  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:42.163  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:42.747  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:43.311  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:43.847  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:44.454  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:45.030  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:45.621  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:46.199  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:46.701  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:47.266  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:47.744  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:48.319  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:48.811  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:49.392  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:49.929  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:50.470  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:51.046  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:51.517  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:52.106  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:52.628  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:53.245  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:53.782  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:54.326  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:54.875  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:55.359  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:55.923  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:56.409  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:57.402  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:58.003  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:58.583  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:59.079  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
00:59.642  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:00.161  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:00.738  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:01.274  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:01.835  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:02.442  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:02.984  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:03.591  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:04.148  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:04.694  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:05.263  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:05.762  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:06.374  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:06.928  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:07.479  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:08.043  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:08.542  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:09.125  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:09.678  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:10.289  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:10.844  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:11.400  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:12.000  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:12.546  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:13.135  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:13.697  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:14.890  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:15.531  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:16.144  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:16.748  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:17.353  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:17.916  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:18.517  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:19.132  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:19.754  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:20.390  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:21.012  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:21.595  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:22.232  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:22.824  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:23.377  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:24.011  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:24.625  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:25.185  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:25.817  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:26.417  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:27.021  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:27.654  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:28.245  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:28.832  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:29.468  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:30.076  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:30.678  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:31.309  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:31.912  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:32.501  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:33.136  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:33.731  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:34.331  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:34.954  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
01:35.606  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
