00:01.872  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:02.339  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:02.790  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:03.249  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:03.711  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:04.152  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:04.620  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:05.125  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:05.676  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:06.162  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:06.660  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:07.137  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:07.669  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:08.180  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:08.705  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:09.197  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:09.681  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:10.145  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:10.527  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:10.910  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:11.286  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:11.690  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:12.090  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:12.554  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:13.033  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:13.498  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:13.871  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:14.323  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:14.748  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:15.190  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:15.607  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:16.127  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:16.631  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:17.173  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:17.744  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:18.344  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:18.964  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:19.578  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:20.125  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:20.644  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:21.186  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:21.726  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:22.203  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:22.676  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:23.128  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:23.626  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:24.122  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:24.671  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:25.184  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:25.678  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:26.204  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:26.703  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:27.197  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:27.670  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:28.135  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:28.584  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:29.042  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:29.547  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:29.952  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:30.335  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:30.712  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:31.129  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
[glass] 151/450 episodes, 62 frames, 0.5 min, 2.03 fps
00:32.021  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:32.495  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:32.992  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
00:33.507  render           | Saved: '/tmp/clearvla_render_glass_front_3855.png'
