00:01.850  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:02.300  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:02.693  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:03.105  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:03.586  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:04.095  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:04.584  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:05.117  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:05.598  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:05.961  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:06.319  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:06.723  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:07.158  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:07.668  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:08.181  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:08.669  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:09.059  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:09.418  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:09.785  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:10.235  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:10.706  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:11.155  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:11.604  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:12.023  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:12.497  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:12.896  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:13.261  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:13.629  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:13.999  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:14.388  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:14.791  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:15.208  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:15.620  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:16.127  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:16.629  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:17.171  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:17.732  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:18.330  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:18.961  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:19.574  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:20.121  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:20.624  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:21.167  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:21.586  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:21.966  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:22.340  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:22.733  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:23.157  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:23.626  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:24.121  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:24.654  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:25.041  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:25.416  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:25.800  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:26.244  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:26.718  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:27.197  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:27.670  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:28.121  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:28.570  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:29.025  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:29.444  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
[opaque] 151/450 episodes, 62 frames, 0.5 min, 2.15 fps
00:30.166  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:30.572  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:31.027  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:31.492  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:31.949  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:32.322  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:32.696  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:33.111  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
00:33.551  render           | Saved: '/tmp/clearvla_render_opaque_front_3853.png'
