00:34.229  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:36.595  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:37.763  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:38.871  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:40.347  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:41.631  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:42.745  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:43.712  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:44.565  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:45.070  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:45.658  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:46.945  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:47.836  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:48.896  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:49.787  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:50.573  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:51.302  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:53.593  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:54.145  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:54.688  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:55.635  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:56.542  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:57.312  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:57.979  render           | Saved: '/tmp/clearvla_render_glass_front.png'
00:59.580  render           | Saved: '/tmp/clearvla_render_glass_front.png'
01:00.284  render           | Saved: '/tmp/clearvla_render_glass_front.png'
[glass] 151/900 episodes, 26 frames, 1.0 min, 0.44 fps
01:02.093  render           | Saved: '/tmp/clearvla_render_glass_front.png'
01:03.247  render           | Saved: '/tmp/clearvla_render_glass_front.png'
