00:34.185  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:36.607  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:37.763  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:38.967  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:40.346  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:41.632  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:42.551  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:43.776  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:44.390  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:44.800  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:45.250  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:45.835  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:46.944  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:47.915  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:48.900  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:49.788  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:50.559  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:51.262  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:53.581  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:54.109  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:54.658  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:55.685  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:56.589  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:57.310  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:57.913  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
00:59.583  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
[opaque] 151/900 episodes, 26 frames, 1.0 min, 0.44 fps
01:01.119  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:02.091  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:03.213  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:05.590  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:09.494  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:10.188  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:10.761  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:11.333  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:12.032  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:12.554  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:13.259  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:13.869  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:14.522  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:15.231  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:16.010  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:16.717  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:17.366  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:18.016  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:18.725  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:19.252  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:20.301  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:21.338  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:22.443  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:24.246  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:25.591  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:26.388  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:26.836  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:27.271  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:28.705  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:29.276  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:30.035  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:30.823  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:31.647  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:33.149  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:33.836  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:34.342  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:35.221  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:35.902  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:36.481  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:37.058  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:37.643  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:38.255  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:39.435  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:40.392  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:41.016  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:41.627  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:42.399  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:43.056  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:43.730  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:44.606  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:45.650  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:46.632  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:47.280  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:48.097  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:49.656  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:50.322  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:51.188  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:52.069  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:52.911  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:53.603  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:54.501  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:55.320  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:56.246  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:57.168  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:57.824  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:58.728  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
01:59.471  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:00.195  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:00.953  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:01.858  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:02.509  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:03.187  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:03.821  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:04.471  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:05.105  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:05.692  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:06.409  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:07.138  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:08.161  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:10.154  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:12.029  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:13.185  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:13.892  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:14.612  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:15.324  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
02:16.078  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
