00:01.815  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:02.513  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:03.279  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:03.923  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:04.702  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:05.466  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:06.237  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:07.072  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:07.909  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:08.672  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:09.422  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:10.654  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:11.420  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:12.601  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:13.790  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:14.659  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:15.495  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:16.423  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:17.433  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:18.423  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:19.320  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:20.826  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:21.826  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:22.758  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:23.684  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:24.901  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
[glass] 1/900 episodes, 26 frames, 0.4 min, 1.07 fps
00:27.407  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:28.796  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:30.559  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:34.392  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:36.568  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:37.714  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:38.961  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:40.346  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:41.705  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:42.773  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:43.769  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:44.619  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:45.398  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:46.627  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:47.733  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:48.629  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:49.245  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:50.213  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:51.009  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:53.340  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:53.944  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:54.534  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:55.443  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:56.539  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
00:57.313  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:00.058  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:00.520  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:00.978  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:01.682  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:02.312  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:03.426  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:05.706  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:09.541  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:10.434  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:11.108  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:11.907  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:12.436  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:13.178  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:13.840  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:14.516  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:15.203  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:16.013  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:16.733  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:17.391  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:18.038  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:18.740  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:20.029  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:21.187  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:22.442  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:24.266  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:25.766  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:26.582  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:27.984  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:28.482  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:28.973  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:29.650  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:30.432  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:31.204  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:31.898  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:33.447  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:34.103  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:34.630  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:35.529  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:36.255  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:36.838  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:37.427  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:38.079  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:39.308  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:40.182  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:40.809  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:41.421  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:42.072  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:42.866  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:43.587  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:44.323  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:45.346  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:46.340  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:46.979  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:48.862  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:49.385  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:49.969  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:50.644  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:51.422  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:52.150  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:53.126  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:53.772  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:54.756  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:55.631  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:56.447  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:57.310  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:58.135  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:58.905  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
01:59.666  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:00.490  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:01.201  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:02.054  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:02.648  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:03.365  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:04.050  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:04.767  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:05.336  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:06.039  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:06.615  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:07.269  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:10.341  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:10.868  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:11.365  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:11.940  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:13.185  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:13.894  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:14.613  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:15.324  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:16.096  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:16.835  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:17.519  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:18.284  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:19.075  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:19.995  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:21.587  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:22.273  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:23.098  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
02:23.634  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
