00:02.111  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:02.700  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:03.148  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:03.594  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:04.048  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:04.479  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:04.924  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:05.462  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:05.941  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:06.385  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:06.881  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:07.394  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:07.930  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:08.551  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:09.127  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:09.542  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:09.976  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
[glass] 1/300 episodes, 17 frames, 0.2 min, 1.82 fps
00:10.901  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:11.464  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:12.106  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:12.633  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:13.166  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:14.087  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
00:14.994  render           | Saved: '/tmp/clearvla_render_glass_wrist_36732.png'
