train 27716 frames / 810 episodes; val 3094 frames
params: 30.281M
/Users/yogyamehrotra/Desktop/ClearVLA/data/dataset.py:64: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  vis = torch.from_numpy(np.asarray(self._mm(t, m)[row]))                                   # (196,768) fp16
{'step': 100, 'loss': 1.3998231494426727, 'lr': 1e-05, 'gn': 3.382300853729248, 'it_s': 2.7360282726724807}
{'step': 200, 'loss': 0.5650313305854797, 'lr': 2e-05, 'gn': 2.4877684116363525, 'it_s': 2.7139234528140146}
{'step': 300, 'loss': 0.46049044370651243, 'lr': 3e-05, 'gn': 3.014138698577881, 'it_s': 2.7107496913727003}
{'step': 400, 'loss': 0.39434394508600235, 'lr': 4e-05, 'gn': 2.719672441482544, 'it_s': 2.7078827046765155}
{'step': 500, 'loss': 0.3482014364004135, 'lr': 5e-05, 'gn': 2.81001877784729, 'it_s': 2.7253423344649983}
{'step': 600, 'loss': 0.2949042887985706, 'lr': 6e-05, 'gn': 2.465470552444458, 'it_s': 2.741083388836387}
{'step': 700, 'loss': 0.26158110812306407, 'lr': 7.000000000000001e-05, 'gn': 2.1599910259246826, 'it_s': 2.7265594433847835}
{'step': 800, 'loss': 0.24482711404561996, 'lr': 8e-05, 'gn': 1.8994992971420288, 'it_s': 2.714670613555929}
{'step': 900, 'loss': 0.22801746025681496, 'lr': 9e-05, 'gn': 1.2989052534103394, 'it_s': 2.7132771541544782}
{'step': 1000, 'loss': 0.2096263861656189, 'lr': 0.0001, 'gn': 1.3143813610076904, 'it_s': 2.7253501494475487}
  val 0.5769
{'step': 1100, 'loss': 0.19096517831087112, 'lr': 9.999907511312648e-05, 'gn': 1.572327971458435, 'it_s': 2.726454020728954}
{'step': 1200, 'loss': 0.16937839291989804, 'lr': 9.999630049052437e-05, 'gn': 1.2018816471099854, 'it_s': 2.7342375542750417}
{'step': 1300, 'loss': 0.14472781352698802, 'lr': 9.999167624624756e-05, 'gn': 1.1025183200836182, 'it_s': 2.737284677610398}
{'step': 1400, 'loss': 0.12703637018799782, 'lr': 9.99852025703806e-05, 'gn': 1.0968613624572754, 'it_s': 2.745884920996808}
{'step': 1500, 'loss': 0.11597548387944698, 'lr': 9.997687972903096e-05, 'gn': 1.1469693183898926, 'it_s': 2.752925814753014}
{'step': 1600, 'loss': 0.10670941606163979, 'lr': 9.996670806431805e-05, 'gn': 1.087478756904602, 'it_s': 2.7580349331606957}
{'step': 1700, 'loss': 0.10487118437886238, 'lr': 9.995468799435917e-05, 'gn': 1.1580402851104736, 'it_s': 2.761456141242094}
{'step': 1800, 'loss': 0.09775243170559406, 'lr': 9.99408200132523e-05, 'gn': 1.0467579364776611, 'it_s': 2.7655214926087983}
{'step': 1900, 'loss': 0.09040321730077266, 'lr': 9.992510469105585e-05, 'gn': 0.613153874874115, 'it_s': 2.7696641258468393}
{'step': 2000, 'loss': 0.09026841409504413, 'lr': 9.990754267376514e-05, 'gn': 0.7254888415336609, 'it_s': 2.7729403818374947}
  val 0.1798
{'step': 2100, 'loss': 0.08480468794703483, 'lr': 9.988813468328593e-05, 'gn': 0.955661952495575, 'it_s': 2.7691134733867933}
{'step': 2200, 'loss': 0.08458473972976208, 'lr': 9.98668815174047e-05, 'gn': 0.6920979619026184, 'it_s': 2.770366084962446}
{'step': 2300, 'loss': 0.08326951511204243, 'lr': 9.984378404975582e-05, 'gn': 0.9938331246376038, 'it_s': 2.774330855974687}
{'step': 2400, 'loss': 0.0781758328154683, 'lr': 9.981884322978577e-05, 'gn': 0.8486779928207397, 'it_s': 2.7774777884778414}
{'step': 2500, 'loss': 0.0770972078293562, 'lr': 9.979206008271392e-05, 'gn': 0.8266474008560181, 'it_s': 2.779073136702172}
{'step': 2600, 'loss': 0.07254877235740423, 'lr': 9.976343570949058e-05, 'gn': 0.7449595928192139, 'it_s': 2.7794897592333836}
{'step': 2700, 'loss': 0.07359133657068014, 'lr': 9.973297128675162e-05, 'gn': 0.822105348110199, 'it_s': 2.782504359893673}
{'step': 2800, 'loss': 0.07438600476831198, 'lr': 9.970066806677013e-05, 'gn': 0.8158377408981323, 'it_s': 2.7853203206628154}
