train 88534 frames / 2520 episodes; val 6148 frames
params: 30.381M
{'step': 100, 'loss': 1.5872868764400483, 'lr': 1e-05, 'gn': 2.6491706371307373, 'it_s': 1.1717823519481996}
{'step': 200, 'loss': 0.7040115559101104, 'lr': 2e-05, 'gn': 2.4392359256744385, 'it_s': 1.1673358322834602}
{'step': 300, 'loss': 0.5830141559243203, 'lr': 3e-05, 'gn': 5.529916286468506, 'it_s': 1.168962231318914}
{'step': 400, 'loss': 0.4923263546824455, 'lr': 4e-05, 'gn': 3.164504051208496, 'it_s': 1.1670257156826125}
{'step': 500, 'loss': 0.43094969987869264, 'lr': 5e-05, 'gn': 2.2380058765411377, 'it_s': 1.165665305577168}
{'step': 600, 'loss': 0.3919217213988304, 'lr': 6e-05, 'gn': 4.219822883605957, 'it_s': 1.1649605138620804}
{'step': 700, 'loss': 0.36140594631433487, 'lr': 7.000000000000001e-05, 'gn': 3.276844024658203, 'it_s': 1.1651739694951238}
{'step': 800, 'loss': 0.33325006380677225, 'lr': 8e-05, 'gn': 2.567247152328491, 'it_s': 1.1644156297425143}
{'step': 900, 'loss': 0.29604836061596873, 'lr': 9e-05, 'gn': 1.8317795991897583, 'it_s': 1.1643137432136}
{'step': 1000, 'loss': 0.2520033875107765, 'lr': 0.0001, 'gn': 2.0293941497802734, 'it_s': 1.1662676666628113}
  val 0.6420
{'step': 1100, 'loss': 0.2084467676281929, 'lr': 9.999807902665156e-05, 'gn': 1.6223825216293335, 'it_s': 1.1619943484106843}
{'step': 1200, 'loss': 0.1797839454561472, 'lr': 9.999231627061237e-05, 'gn': 1.357571005821228, 'it_s': 1.1617439035638046}
{'step': 1300, 'loss': 0.1556430345773697, 'lr': 9.998271222388693e-05, 'gn': 1.1938859224319458, 'it_s': 1.1617096142662913}
{'step': 1400, 'loss': 0.14422585889697076, 'lr': 9.996926770643604e-05, 'gn': 1.1573749780654907, 'it_s': 1.1623532452100045}
{'step': 1500, 'loss': 0.13443002507090568, 'lr': 9.995198386610677e-05, 'gn': 1.069726824760437, 'it_s': 1.163342060862967}
{'step': 1600, 'loss': 0.12682141974568367, 'lr': 9.993086217853453e-05, 'gn': 1.0230748653411865, 'it_s': 1.1629514688826494}
{'step': 1700, 'loss': 0.124303083345294, 'lr': 9.990590444701708e-05, 'gn': 1.002561092376709, 'it_s': 1.1626775671391034}
{'step': 1800, 'loss': 0.11737244851887225, 'lr': 9.987711280236048e-05, 'gn': 0.8915431499481201, 'it_s': 1.1630876912019794}
{'step': 1900, 'loss': 0.1079882825911045, 'lr': 9.984448970269726e-05, 'gn': 0.7663432955741882, 'it_s': 1.1631780151906828}
{'step': 2000, 'loss': 0.10655928902328014, 'lr': 9.980803793327656e-05, 'gn': 0.8651507496833801, 'it_s': 1.1637349319282253}
  val 0.2028
{'step': 2100, 'loss': 0.09900624431669712, 'lr': 9.976776060622626e-05, 'gn': 0.7658421993255615, 'it_s': 1.1617018974487778}
{'step': 2200, 'loss': 0.1018815840780735, 'lr': 9.972366116028733e-05, 'gn': 0.7625401020050049, 'it_s': 1.1620233811710319}
{'step': 2300, 'loss': 0.09790284253656864, 'lr': 9.967574336052022e-05, 'gn': 1.0813086032867432, 'it_s': 1.1624645603228136}
{'step': 2400, 'loss': 0.09480074897408486, 'lr': 9.962401129798343e-05, 'gn': 1.0362273454666138, 'it_s': 1.1627547860480596}
{'step': 2500, 'loss': 0.0917129972949624, 'lr': 9.956846938938423e-05, 'gn': 0.9858466982841492, 'it_s': 1.1632125901690489}
{'step': 2600, 'loss': 0.08774934791028499, 'lr': 9.950912237670157e-05, 'gn': 0.9676293134689331, 'it_s': 1.1633354225486814}
{'step': 2700, 'loss': 0.08908457878977061, 'lr': 9.94459753267812e-05, 'gn': 1.0384023189544678, 'it_s': 1.163838991207248}
{'step': 2800, 'loss': 0.08959698047488927, 'lr': 9.937903363090311e-05, 'gn': 0.784576952457428, 'it_s': 1.164138836094283}
