00:01.833  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:02.317  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:02.775  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:03.169  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:03.572  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:03.991  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:04.386  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:04.775  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:05.171  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:05.572  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:05.978  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:06.381  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:06.779  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:07.177  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:07.573  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:07.992  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:08.394  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:08.780  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:09.190  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:09.581  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:09.986  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:10.385  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:10.791  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:11.190  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:11.576  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:11.972  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:12.368  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:12.757  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1000: 14 obs, success=True, 0.2 min
00:13.457  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:13.873  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:14.297  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:14.723  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:15.123  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:15.513  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:15.905  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:16.313  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:16.687  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:17.107  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:17.487  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:17.885  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:18.312  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:18.703  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:19.103  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:19.491  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:19.895  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:20.280  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:20.677  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:21.073  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:21.466  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:21.841  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:22.225  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:22.622  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:23.020  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:23.415  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1001: 13 obs, success=True, 0.4 min
00:24.075  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:24.483  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:24.887  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:25.277  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:25.669  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:26.054  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:26.431  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:26.811  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:27.211  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:27.604  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:28.002  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:28.404  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:28.806  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:29.220  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:29.622  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:30.022  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:30.443  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:30.825  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:31.225  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:31.617  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:32.024  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:32.423  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:32.818  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:33.213  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:33.611  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:34.012  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:34.412  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:34.842  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1002: 14 obs, success=True, 0.6 min
00:35.529  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:35.956  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:36.391  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:36.764  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:37.164  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:37.559  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:37.952  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:38.348  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:38.747  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.150  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.554  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.956  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:40.375  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:40.771  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.196  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.573  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.979  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:42.391  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:42.815  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:43.216  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:43.606  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.008  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.432  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.820  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:45.237  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:45.643  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:46.030  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:46.439  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1003: 14 obs, success=True, 0.8 min
00:47.103  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:47.535  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:47.962  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:48.348  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:48.747  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.148  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.564  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.974  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:50.370  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:50.764  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:51.170  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
