00:01.833  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:02.312  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:02.759  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:03.150  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:03.572  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:03.974  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:04.368  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:04.757  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:05.158  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:05.555  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:05.968  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:06.366  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:06.762  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:07.185  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:07.590  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:07.974  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:08.370  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:08.770  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:09.172  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:09.564  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:09.968  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:10.366  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:10.775  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:11.171  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:11.557  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:11.953  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:12.352  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:12.741  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1000: 14 obs, success=True, 0.2 min
00:13.457  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:13.875  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:14.297  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:14.705  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:15.103  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:15.495  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:15.894  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:16.297  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:16.676  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:17.088  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:17.504  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:17.899  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:18.298  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:18.688  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:19.084  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:19.477  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:19.878  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:20.265  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:20.658  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:21.055  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:21.447  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:21.812  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:22.209  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:22.608  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:23.005  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:23.400  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1001: 13 obs, success=True, 0.4 min
00:24.071  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:24.475  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:24.870  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
