[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 27303.97it/s]
00:05.825  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:06.133  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:06.682  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:06.985  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:07.542  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:07.850  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:08.229  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:08.534  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:08.906  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:09.215  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:09.582  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:09.892  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:10.269  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:10.577  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:10.949  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:11.257  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:11.632  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:11.940  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:12.314  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:12.617  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:12.990  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:13.300  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:13.674  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:13.977  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:14.351  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:14.656  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:15.030  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:15.337  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:15.706  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:16.007  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:16.378  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:16.687  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:17.062  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:17.366  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:17.742  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:18.045  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:18.420  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:18.720  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:19.090  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:19.398  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:19.771  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:20.077  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:20.446  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:20.749  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:21.120  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:21.425  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:21.791  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:22.097  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:22.465  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:22.770  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:23.141  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:23.443  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:23.812  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:24.119  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:24.491  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:24.797  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:25.170  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:25.474  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:25.852  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:26.155  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:26.527  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:26.834  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:27.204  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:27.506  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:27.875  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:28.180  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:28.547  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:28.854  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:29.227  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:29.531  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:29.903  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:30.205  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:30.587  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:30.890  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:31.266  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:31.568  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:32.341  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:32.655  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:33.032  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:33.346  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:33.716  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:34.021  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:34.392  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:34.700  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:35.069  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:35.376  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:35.749  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:36.056  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:36.434  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:36.744  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:37.122  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:37.432  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:37.805  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:38.110  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:38.482  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:38.791  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:39.164  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:39.467  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:39.842  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:40.144  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:40.517  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:40.822  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:41.195  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
00:41.505  render           | Saved: '/tmp/clearvla_eval_opaque_13873.png'
