[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 19609.88it/s]
00:06.044  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:06.380  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:06.901  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:07.227  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:07.615  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:07.960  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:08.350  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:08.699  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:09.088  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:09.439  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:09.831  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:10.182  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:10.574  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:10.923  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:11.321  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
00:11.660  render           | Saved: '/tmp/clearvla_eval_opaque_10012.png'
