[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 24991.98it/s]
00:05.856  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:06.169  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:06.669  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:06.982  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:07.359  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:07.666  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:08.040  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:08.350  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:08.722  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:09.032  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:09.406  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:09.717  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:10.089  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:10.395  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:10.770  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:11.075  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:11.447  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:11.755  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:12.134  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:12.447  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:12.825  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:13.132  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:13.513  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:13.817  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:14.195  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:14.507  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:14.880  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:15.191  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:15.569  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:15.878  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:16.253  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:16.563  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:16.940  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:17.246  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:17.621  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:17.925  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:18.301  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:18.603  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:18.979  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:19.287  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:19.657  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:19.962  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:20.337  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:20.643  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:21.019  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:21.321  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:21.690  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:22.014  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:22.392  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:22.701  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:23.090  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:23.395  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:23.769  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:24.069  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:24.443  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:24.742  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:25.122  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:25.430  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:25.803  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:26.112  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:26.485  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:26.789  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:27.163  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:27.466  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:27.839  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:28.140  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:28.516  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:28.825  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:29.197  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:29.500  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:29.872  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:30.174  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:30.547  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:30.851  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:31.224  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:31.532  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:32.308  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:32.616  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:32.998  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:33.309  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:33.679  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:33.993  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:34.370  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:34.680  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:35.057  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:35.371  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:35.745  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:36.052  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:36.430  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:36.736  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:37.116  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:37.426  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:37.800  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:38.108  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:38.483  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:38.792  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:39.168  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:39.478  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:39.858  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:40.165  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:40.545  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:40.854  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:41.233  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:41.541  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:41.920  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:42.226  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:42.602  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:42.912  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:43.289  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:43.598  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:43.972  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:44.279  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:44.657  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:44.965  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:45.349  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:45.659  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:46.037  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:46.350  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:46.729  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:47.040  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:47.415  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:47.718  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:48.090  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:48.396  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:48.773  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:49.083  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:49.459  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:49.767  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:50.147  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:50.456  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:50.847  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:51.152  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:51.528  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:51.835  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:52.211  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:52.520  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:52.895  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:53.202  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:53.577  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:53.886  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:54.265  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:54.577  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:54.954  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:55.259  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:55.641  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:55.951  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:56.332  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:56.636  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:57.011  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:57.321  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:57.698  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
00:58.009  render           | Saved: '/tmp/clearvla_eval_opaque_17350.png'
