[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 23002.88it/s]
00:05.791  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:06.100  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:06.989  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:07.295  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:07.672  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:07.979  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:08.363  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:08.677  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:09.048  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:09.363  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:09.739  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:10.047  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:10.424  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:10.733  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:11.111  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:11.424  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:11.802  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:12.117  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:12.493  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:12.803  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:13.186  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:13.493  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:13.867  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:14.180  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:14.563  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:14.873  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:15.247  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:15.554  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:15.935  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:16.247  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:17.033  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:17.348  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:17.726  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:18.038  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:18.417  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:18.719  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:19.096  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:19.407  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:19.777  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:20.091  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:20.470  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:20.784  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:21.160  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:21.467  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:21.846  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:22.156  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:22.532  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:22.843  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:23.222  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
00:23.529  render           | Saved: '/tmp/clearvla_eval_opaque_16432.png'
