[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 21763.65it/s]
00:05.941  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:06.267  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:06.829  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:07.190  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:07.611  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:07.961  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:08.373  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:08.721  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:09.137  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:09.485  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:09.902  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:10.244  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:10.662  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:10.992  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:11.407  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:11.729  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:12.157  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:12.482  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:12.901  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:13.241  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:13.641  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:13.967  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:14.358  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:14.701  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:15.109  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:15.436  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:15.838  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:16.167  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:16.992  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:17.311  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:17.715  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:18.045  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
00:18.445  render           | Saved: '/tmp/clearvla_eval_opaque_10999.png'
