[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 10707.19it/s]
00:07.095  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:07.428  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:08.219  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:08.651  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:09.109  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:09.482  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:09.915  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:10.319  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:10.787  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:11.181  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:11.653  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:12.027  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:12.490  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:12.833  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:13.288  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:13.684  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:14.117  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:14.487  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:14.939  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:15.303  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:15.754  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:16.133  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:16.608  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
00:16.993  render           | Saved: '/tmp/clearvla_eval_opaque_74646.png'
