[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 11357.32it/s]
00:07.377  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:07.712  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:08.482  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:08.826  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:09.225  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:09.569  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:09.963  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:10.293  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:10.674  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:11.042  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:11.448  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:11.788  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:12.215  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:12.552  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:12.978  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:13.312  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:13.736  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:14.075  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:14.488  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:14.809  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:15.235  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:15.555  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:15.979  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:16.301  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:16.726  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:17.050  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:17.474  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:17.797  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:18.217  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:18.540  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:18.965  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:19.287  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:19.702  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:20.024  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:20.428  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:20.758  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:21.165  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:21.497  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:21.906  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:22.236  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:22.633  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:22.960  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:23.370  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:23.703  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:24.109  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:24.436  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:24.859  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:25.178  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:25.601  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:25.921  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:26.340  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:26.665  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:27.078  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:27.406  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:27.810  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:28.138  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:28.535  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:28.860  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:29.268  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:29.591  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:29.999  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:30.338  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:30.759  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:31.083  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:31.503  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:31.833  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:32.267  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:32.587  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:33.006  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:33.323  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:33.747  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:34.063  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:34.480  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:34.801  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:35.216  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:35.536  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:36.418  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:36.736  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
00:37.172  render           | Saved: '/tmp/clearvla_eval_opaque_1347.png'
