[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 10107.53it/s]
00:08.160  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:08.565  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:09.532  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:09.903  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:10.352  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:10.725  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:11.210  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:11.582  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:12.041  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:12.417  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:12.856  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:13.229  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:13.695  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:14.086  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:14.554  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:14.928  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:15.400  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:15.777  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:16.249  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:16.620  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:17.074  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:17.455  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:17.930  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:18.302  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:18.718  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:19.069  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:19.512  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:19.883  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:20.329  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:20.701  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:21.545  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:21.874  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:22.304  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:22.629  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:23.062  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:23.388  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:23.795  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:24.139  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:24.550  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:24.879  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:25.280  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:25.618  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:26.048  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:26.379  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:26.828  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:27.156  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:27.609  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:27.931  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:28.363  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:28.689  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:29.151  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:29.476  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:29.917  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
00:30.241  render           | Saved: '/tmp/clearvla_eval_opaque_42933.png'
