[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 11498.42it/s]
00:07.381  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:07.701  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:08.327  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:08.646  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:09.055  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:09.372  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:09.780  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:10.099  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:10.503  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:10.826  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:11.234  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:11.557  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:11.955  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:12.283  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:12.678  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:12.998  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:13.404  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:13.737  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:14.137  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:14.481  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:14.884  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:15.256  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:15.655  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:16.016  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:16.423  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:16.762  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:17.183  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:17.517  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:17.942  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
00:18.269  render           | Saved: '/tmp/clearvla_eval_opaque_42985.png'
