[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 12048.52it/s]
00:07.332  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:07.692  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:08.252  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:08.579  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:08.970  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:09.295  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:09.687  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:10.018  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:10.460  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:10.826  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:11.266  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:11.633  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:12.068  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:12.437  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:12.873  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:13.239  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:13.648  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:13.976  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:14.432  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:14.761  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:15.215  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:15.547  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:15.986  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:16.326  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:16.755  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:17.093  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:17.520  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:17.863  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:18.290  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:18.637  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:19.066  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:19.399  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:20.262  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:20.591  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:21.006  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:21.343  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:21.777  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:22.118  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:22.525  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:22.866  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:23.276  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:23.614  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:24.021  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:24.363  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:24.759  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
00:25.090  render           | Saved: '/tmp/clearvla_eval_opaque_27424.png'
