[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 9643.55it/s]
00:08.626  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:09.111  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
/Users/yogyamehrotra/miniconda3/envs/clearvla/lib/python3.11/site-packages/transformers/image_processing_backends.py:135: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  image = torch.from_numpy(image).contiguous()
00:10.162  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:10.526  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:10.977  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:11.347  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:11.816  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:12.197  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:12.663  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:13.047  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:13.530  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:13.909  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:14.386  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:14.765  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:15.224  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:15.595  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:16.046  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:16.419  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:16.883  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:17.260  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:17.702  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:18.081  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:18.554  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:18.926  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:19.404  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:19.767  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:20.206  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:20.575  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:21.009  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:21.361  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:22.272  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:22.646  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:23.143  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:23.510  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:23.977  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:24.378  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:24.863  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:25.227  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:25.679  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:26.052  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:26.520  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:26.893  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:27.351  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:27.730  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:28.168  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:28.545  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:29.024  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:29.407  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:29.898  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:30.271  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:30.733  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:31.107  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:31.571  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:31.953  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:32.372  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:32.708  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:33.586  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:33.950  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:34.456  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:34.843  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:35.306  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:35.693  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:36.145  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:36.519  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:36.972  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:37.354  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:37.788  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:38.179  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:38.659  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:39.035  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:39.538  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:39.960  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:40.426  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:40.802  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:41.289  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:41.667  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:42.153  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:42.527  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:42.966  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:43.340  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:43.821  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:44.210  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:44.767  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:45.164  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:45.629  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:46.003  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:46.420  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:46.762  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:47.603  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:47.952  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:48.366  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:48.732  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:49.206  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:49.586  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:50.060  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:50.428  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:50.871  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:51.279  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:51.741  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:52.183  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:52.676  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:53.061  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:53.521  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:53.895  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:54.355  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:54.733  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:55.203  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:55.582  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:56.039  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:56.415  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:56.904  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:57.298  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:57.756  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:58.125  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:58.599  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:58.970  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:59.403  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
00:59.760  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:00.593  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:00.983  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:01.432  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:01.821  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:02.281  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:02.669  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:03.136  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:03.509  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:03.961  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
01:04.340  render           | Saved: '/tmp/clearvla_eval_opaque_41452.png'
